 	Point count ,	Thread count,	Time
6,1,0
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,0
6,8,0
6,9,1
6,10,1
6,11,0
6,12,0
6,13,1
6,14,1
6,15,1
6,16,0
6,17,0
6,18,1
6,19,1
6,20,1

12,1,4
12,2,3
12,3,4
12,4,3
12,5,6
12,6,5
12,7,5
12,8,3
12,9,4
12,10,3
12,11,2
12,12,3
12,13,2
12,14,2
12,15,4
12,16,1
12,17,3
12,18,4
12,19,3
12,20,2

18,1,19
18,2,10
18,3,6
18,4,6
18,5,8
18,6,12
18,7,10
18,8,6
18,9,7
18,10,9
18,11,7
18,12,11
18,13,19
18,14,17
18,15,7
18,16,14
18,17,7
18,18,8
18,19,8
18,20,9

24,1,43
24,2,30
24,3,18
24,4,15
24,5,22
24,6,14
24,7,24
24,8,17
24,9,16
24,10,18
24,11,18
24,12,18
24,13,22
24,14,20
24,15,15
24,16,17
24,17,17
24,18,16
